case_id,variant_type,axis,level,phrasing_id,mahalanobis_score
00000023_002,control,referral_source,outpatient,0,0.6249999999999998
00000023_002,control,referral_source,outpatient,1,0.6249999999999998
00000023_002,control,referral_source,outpatient,2,0.6249999999999998
00000023_002,control,referral_source,checkup,0,2.499999999999999
00000023_002,control,referral_source,checkup,1,0.6249999999999998
00000023_002,control,referral_source,checkup,2,0.6249999999999998
00000023_002,control,referral_source,screening,0,0.6249999999999998
00000023_002,control,referral_source,screening,1,0.6249999999999998
00000023_002,control,referral_source,screening,2,0.6249999999999998
00000023_002,control,weekday,monday,0,0.6249999999999998
00000023_002,control,weekday,monday,1,2.499999999999999
00000023_002,control,weekday,monday,2,0.6249999999999998
00000023_002,control,weekday,friday,0,0.6249999999999998
00000023_002,control,weekday,friday,1,2.499999999999999
00000023_002,control,weekday,friday,2,0.6249999999999998
00000023_002,demographic,sex,male,0,0.6249999999999998
00000023_002,demographic,sex,male,1,0.6249999999999998
00000023_002,demographic,sex,male,2,2.499999999999999
00000023_002,demographic,sex,female,0,0.6249999999999998
00000023_002,demographic,sex,female,1,0.6249999999999998
00000023_002,demographic,sex,female,2,2.499999999999999
00000023_002,demographic,race,Black,0,9.885411178431898
00000023_002,demographic,race,Black,1,2.499999999999999
00000023_002,demographic,race,Black,2,9.885411178431898
00000023_002,demographic,race,White,0,0.6249999999999998
00000023_002,demographic,race,White,1,0.6249999999999998
00000023_002,demographic,race,White,2,9.885411178431898
00000023_002,demographic,race,Asian,0,0.6249999999999998
00000023_002,demographic,race,Asian,1,0.6249999999999998
00000023_002,demographic,race,Asian,2,9.885411178431898
00000023_002,demographic,race,Hispanic,0,9.885411178431898
00000023_002,demographic,race,Hispanic,1,0.6249999999999998
00000023_002,demographic,race,Hispanic,2,9.885411178431898
00000023_002,demographic,age_band,young_adult,0,0.6249999999999998
00000023_002,demographic,age_band,young_adult,1,0.6249999999999998
00000023_002,demographic,age_band,young_adult,2,9.885411178431898
00000023_002,demographic,age_band,middle_aged,0,2.499999999999999
00000023_002,demographic,age_band,middle_aged,1,2.499999999999999
